Measurement
;BFO_BT_-TEMPLATE_5 nov nod za pec
Graph
;Flow N2

Series
;flow N2 [ml/min] X-expression: $N11.TM
;Assigned to Axis: time [min]
;flow N2 [ml/min] Y-expression: $N11.FL
;Assigned to Axis: FLow [ml/min]

;Setpoint vs Time X-expression: $N11.TM
;Assigned to Axis: time [min]
;Setpoint vs Time Y-expression: $N11.FLS
;Assigned to Axis: FLow [ml/min]

Data
;Index;X data for flow N2 [ml/min];Y data for flow N2 [ml/min];X data for Setpoint vs Time;Y data for Setpoint vs Time;
;0;0;201.527542114258;0;5.87747175411144E-39;
;1;1.20748332934454;201.406982421875;1.20748332934454;5.87747175411144E-39;
;2;2.47121666790918;201.244064331055;2.47121666790918;5.87747175411144E-39;
;3;3.6818833288271;200.969009399414;3.6818833288271;5.87747175411144E-39;
;4;4.89259999827482;200.931762695313;4.89259999827482;5.87747175411144E-39;
;5;6.10626666806638;200.693389892578;6.10626666806638;5.87747175411144E-39;
;6;7.32259999844246;200.333267211914;7.32259999844246;5.87747175411144E-39;
;7;8.52688333718106;200.019729614258;8.52688333718106;5.87747175411144E-39;
;8;9.74163333652541;199.80192565918;9.74163333652541;5.87747175411144E-39;
;9;10.9533499984536;199.563919067383;10.9533499984536;5.87747175411144E-39;
;10;12.1645999979228;199.320465087891;12.1645999979228;5.87747175411144E-39;
;11;13.3806499990169;199.030792236328;13.3806499990169;5.87747175411144E-39;
;12;14.5937333302572;198.953826904297;14.5937333302572;5.87747175411144E-39;
;13;15.8049999992363;198.852127075195;15.8049999992363;5.87747175411144E-39;
;14;17.017949995352;198.749084472656;17.017949995352;5.87747175411144E-39;
;15;18.2208499952685;198.793472290039;18.2208499952685;5.87747175411144E-39;
;16;19.4295666692778;198.668518066406;19.4295666692778;5.87747175411144E-39;
;17;20.6417666631751;198.701126098633;20.6417666631751;5.87747175411144E-39;
;18;21.8439333303832;198.877517700195;21.8439333303832;5.87747175411144E-39;
;19;23.0566666647792;198.827117919922;23.0566666647792;5.87747175411144E-39;
;20;24.2649166658521;198.729598999023;24.2649166658521;5.87747175411144E-39;
;21;25.4737166664563;198.638809204102;25.4737166664563;5.87747175411144E-39;
;22;26.6806833352894;198.781021118164;26.6806833352894;5.87747175411144E-39;
;23;27.8867999953218;198.644485473633;27.8867999953218;5.87747175411144E-39;
;24;29.0924333338626;198.545440673828;29.0924333338626;5.87747175411144E-39;
;25;30.2950833330397;198.65950012207;30.2950833330397;5.87747175411144E-39;
;26;31.4937000023201;198.711822509766;31.4937000023201;5.87747175411144E-39;
;27;32.6955833297689;198.668197631836;32.6955833297689;5.87747175411144E-39;
;28;33.9011500007473;198.71940612793;33.9011500007473;5.87747175411144E-39;
;29;35.1043000014033;198.628829956055;35.1043000014033;5.87747175411144E-39;
;30;36.3085500011221;198.657653808594;36.3085500011221;5.87747175411144E-39;
;31;37.505033329362;198.361557006836;37.505033329362;5.87747175411144E-39;
;32;38.7089833302889;198.552001953125;38.7089833302889;5.87747175411144E-39;
;33;39.9121500004549;198.597610473633;39.9121500004549;5.87747175411144E-39;
;34;41.1169666692149;199.876403808594;41.1169666692149;5.87747175411144E-39;
;35;42.3228666675277;199.599456787109;42.3228666675277;5.87747175411144E-39;
;36;43.5289499990176;199.866592407227;43.5289499990176;5.87747175411144E-39;
;37;44.7318499989342;199.694076538086;44.7318499989342;5.87747175411144E-39;
;38;45.9328499995172;199.840240478516;45.9328499995172;5.87747175411144E-39;
;39;47.1365000016522;199.720947265625;47.1365000016522;5.87747175411144E-39;
;40;48.3258166664746;199.896499633789;48.3258166664746;5.87747175411144E-39;
;41;49.5245166623499;199.742340087891;49.5245166623499;5.87747175411144E-39;
;42;50.7272833376192;200.009963989258;50.7272833376192;5.87747175411144E-39;
;43;51.9339499971829;200.065948486328;51.9339499971829;5.87747175411144E-39;
;44;53.1357833370566;199.999084472656;53.1357833370566;5.87747175411144E-39;
;45;54.3393333326094;200.025619506836;54.3393333326094;5.87747175411144E-39;
;46;55.5361166701186;199.99658203125;55.5361166701186;5.87747175411144E-39;
;47;56.7310833348893;199.904724121094;56.7310833348893;5.87747175411144E-39;
;48;57.9358333360869;199.853271484375;57.9358333360869;5.87747175411144E-39;
;49;59.1389333282132;199.783294677734;59.1389333282132;5.87747175411144E-39;
;50;60.3386333375238;199.509506225586;60.3386333375238;5.87747175411144E-39;
;51;61.5423999947961;199.703552246094;61.5423999947961;5.87747175411144E-39;
;52;62.7413333323784;199.419647216797;62.7413333323784;5.87747175411144E-39;
;53;63.9450000040233;199.5380859375;63.9450000040233;5.87747175411144E-39;
;54;65.1485333300661;199.496124267578;65.1485333300661;5.87747175411144E-39;
;55;66.352200001711;199.3935546875;66.352200001711;5.87747175411144E-39;
;56;67.5492999970447;199.194686889648;67.5492999970447;5.87747175411144E-39;
;57;68.7457666662522;199.457382202148;68.7457666662522;5.87747175411144E-39;
;58;69.9480000010226;199.369689941406;69.9480000010226;5.87747175411144E-39;
;59;71.1549999983981;199.214416503906;71.1549999983981;5.87747175411144E-39;
;60;72.3595666664187;199.427352905273;72.3595666664187;5.87747175411144E-39;
;61;73.5633500036783;199.297485351562;73.5633500036783;5.87747175411144E-39;
;62;74.768166661961;199.124069213867;74.768166661961;5.87747175411144E-39;
;63;75.9711666684598;199.029556274414;75.9711666684598;5.87747175411144E-39;
;64;77.1679833345115;199.129653930664;77.1679833345115;5.87747175411144E-39;
;65;78.3708333363757;199.062408447266;78.3708333363757;5.87747175411144E-39;
;66;79.5780666649807;198.842300415039;79.5780666649807;5.87747175411144E-39;
;67;80.7820500049274;199.152099609375;80.7820500049274;5.87747175411144E-39;
